Município;Assistência_Médica;Excl._Odontológico;Total
311870 Coqueiral;556;17;573
311880 Coração de Jesus;351;8;359
311890 Cordisburgo;470;14;484
311900 Cordislândia;53;1;54
311910 Corinto;1764;80;1844
311920 Coroaci;267;1;268
311930 Coromandel;4731;205;4936
311940 Coronel Fabriciano;25328;4987;30315
311950 Coronel Murta;244;4;248
311960 Coronel Pacheco;225;10;235
311970 Coronel Xavier Chaves;192;4;196
311980 Córrego Danta;85;0;85
311990 Córrego do Bom Jesus;113;0;113
311995 Córrego Fundo;92;9;101
312000 Córrego Novo;27;0;27
312010 Couto de Magalhães de Minas;47;0;47
312015 Crisólita;25;0;25
312020 Cristais;301;0;301
312030 Cristália;33;4;37
312040 Cristiano Otoni;380;32;412
312050 Cristina;1301;35;1336
312060 Crucilândia;96;10;106
312070 Cruzeiro da Fortaleza;136;4;140
312080 Cruzília;1340;52;1392
312083 Cuparaque;66;0;66
312087 Curral de Dentro;58;5;63
312090 Curvelo;11284;620;11904
312100 Datas;58;2;60
312110 Delfim Moreira;335;92;427
312120 Delfinópolis;181;11;192
312125 Delta;2079;373;2452
312130 Descoberto;271;5;276
312140 Desterro de Entre Rios;92;9;101
312150 Desterro do Melo;58;2;60
312160 Diamantina;3949;118;4067
312170 Diogo de Vasconcelos;29;5;34
312180 Dionísio;344;21;365
312190 Divinésia;297;9;306
312200 Divino;563;44;607
312210 Divino das Laranjeiras;145;4;149
312220 Divinolândia de Minas;192;78;270
312230 Divinópolis;101065;4994;106059
312235 Divisa Alegre;93;7;100
312240 Divisa Nova;171;4;175
312245 Divisópolis;53;4;57
312247 Dom Bosco;23;4;27
312250 Dom Cavati;293;22;315
312260 Dom Joaquim;114;2;116
312270 Dom Silvério;303;6;309
312280 Dom Viçoso;94;7;101
312290 Dona Eusébia;273;5;278
312300 Dores de Campos;1126;8;1134
312310 Dores de Guanhães;69;2;71
312320 Dores do Indaiá;1582;24;1606
312330 Dores do Turvo;300;2;302
312340 Doresópolis;42;3;45
312350 Douradoquara;15;5;20
312352 Durandé;80;1;81
312360 Elói Mendes;8177;40;8217
312370 Engenheiro Caldas;727;3;730
312380 Engenheiro Navarro;268;124;392
312385 Entre Folhas;124;7;131
312390 Entre Rios de Minas;939;55;994
312400 Ervália;409;3;412
312410 Esmeraldas;4915;1062;5977
312420 Espera Feliz;676;33;709
312430 Espinosa;561;23;584
312440 Espírito Santo do Dourado;177;1;178
312450 Estiva;556;44;600
312460 Estrela Dalva;115;32;147
312470 Estrela do Indaiá;128;1;129
312480 Estrela do Sul;308;129;437
312490 Eugenópolis;459;16;475
312500 Ewbank da Câmara;189;21;210
312510 Extrema;10955;475;11430
312520 Fama;161;2;163
312530 Faria Lemos;174;9;183
312540 Felício dos Santos;36;2;38
312560 Felisburgo;89;0;89
312570 Felixlândia;1159;35;1194
312580 Fernandes Tourinho;101;1;102
312590 Ferros;478;24;502
312595 Fervedouro;148;10;158
312600 Florestal;2175;44;2219
312610 Formiga;9983;269;10252
312620 Formoso;104;8;112
312630 Fortaleza de Minas;256;488;744
312640 Fortuna de Minas;105;3;108
312650 Francisco Badaró;77;0;77
312660 Francisco Dumont;38;4;42
312670 Francisco Sá;634;36;670
312675 Franciscópolis;17;0;17
312680 Frei Gaspar;63;1;64
312690 Frei Inocêncio;361;9;370
312695 Frei Lagonegro;1;0;1
312700 Fronteira;2725;88;2813
312705 Fronteira dos Vales;127;0;127
312707 Fruta de Leite;12;0;12
312710 Frutal;13619;231;13850
312720 Funilândia;139;5;144
312730 Galiléia;301;4;305
312733 Gameleiras;19;0;19
312735 Glaucilândia;25;2;27
312737 Goiabeira;36;0;36
312738 Goianá;203;19;222
312740 Gonçalves;82;2;84
312750 Gonzaga;55;7;62
312760 Gouveia;393;15;408
312770 Governador Valadares;63695;3434;67129
312780 Grão Mogol;113;1;114
312790 Grupiara;13;0;13
312800 Guanhães;2597;171;2768
312810 Guapé;391;14;405
312820 Guaraciaba;225;13;238
312825 Guaraciama;151;39;190
312830 Guaranésia;1550;20;1570
312840 Guarani;1237;16;1253
312850 Guarará;207;4;211
312860 Guarda-Mor;114;10;124
312870 Guaxupé;9319;131;9450
312880 Guidoval;1823;20;1843
312890 Guimarânia;196;9;205
312900 Guiricema;240;8;248
312910 Gurinhatã;945;13;958
312920 Heliodora;156;3;159
312930 Iapu;591;36;627
312940 Ibertioga;127;0;127
312950 Ibiá;3204;876;4080
312960 Ibiaí;49;7;56
312965 Ibiracatu;39;2;41
312970 Ibiraci;1725;32;1757
312980 Ibirité;29724;8652;38376
312990 Ibitiúra de Minas;211;0;211
313000 Ibituruna;160;0;160
313005 Icaraí de Minas;21;1;22
313010 Igarapé;4040;254;4294
313020 Igaratinga;1002;23;1025
313030 Iguatama;1127;881;2008
313040 Ijaci;759;81;840
313050 Ilicínea;81;3;84
313055 Imbé de Minas;51;4;55
313060 Inconfidentes;430;19;449
313065 Indaiabira;27;3;30
313070 Indianópolis;147;29;176
313080 Ingaí;55;28;83
313090 Inhapim;1281;21;1302
313100 Inhaúma;443;31;474
313110 Inimutaba;203;22;225
313115 Ipaba;1172;130;1302
313120 Ipanema;659;27;686
313130 Ipatinga;79042;2927;81969
313140 Ipiaçu;389;4;393
313150 Ipuiúna;718;5;723
313160 Iraí de Minas;227;16;243
313170 Itabira;55885;1993;57878
313180 Itabirinha;316;6;322
313190 Itabirito;19061;730;19791
313200 Itacambira;525;2;527
313210 Itacarambi;179;16;195
313220 Itaguara;777;18;795
313230 Itaipé;135;6;141
313240 Itajubá;30730;16613;47343
313250 Itamarandiba;2750;11;2761
313260 Itamarati de Minas;458;1;459
313270 Itambacuri;1146;26;1172
313280 Itambé do Mato Dentro;79;3;82
313290 Itamogi;615;3;618
313300 Itamonte;2934;414;3348
313310 Itanhandu;3361;65;3426
313320 Itanhomi;823;5;828
313330 Itaobim;598;16;614
313340 Itapagipe;1549;18;1567
313350 Itapecerica;3949;27;3976
313360 Itapeva;1322;87;1409
313370 Itatiaiuçu;690;50;740
313375 Itaú de Minas;1694;686;2380
313380 Itaúna;18862;1894;20756
313390 Itaverava;91;22;113
313400 Itinga;112;1;113
313410 Itueta;109;1;110
313420 Ituiutaba;28525;1361;29886
313430 Itumirim;682;8;690
313440 Iturama;5113;1869;6982
313450 Itutinga;486;12;498
313460 Jaboticatubas;678;60;738
313470 Jacinto;254;5;259
313480 Jacuí;311;13;324
313490 Jacutinga;2749;75;2824
313500 Jaguaraçu;226;18;244
313505 Jaíba;464;8;472
313507 Jampruca;40;0;40
313510 Janaúba;2558;129;2687
313520 Januária;2792;136;2928
313530 Japaraíba;613;2;615
313535 Japonvar;22;3;25
313540 Jeceaba;306;30;336
313545 Jenipapo de Minas;125;0;125
313550 Jequeri;571;10;581
313560 Jequitaí;98;4;102
313570 Jequitibá;234;16;250
313580 Jequitinhonha;728;15;743
313590 Jesuânia;218;2;220
313600 Joaíma;381;4;385
313610 Joanésia;158;4;162
313620 João Monlevade;20705;431;21136
313630 João Pinheiro;2650;378;3028
313640 Joaquim Felício;36;0;36
313650 Jordânia;154;3;157
313652 José Gonçalves de Minas;10;0;10
313655 José Raydan;28;3;31
313657 Josenópolis;28;0;28
313665 Juatuba;6143;400;6543
313670 Juiz de Fora;172924;23324;196248
313680 Juramento;96;2;98
313690 Juruaia;139;5;144
313695 Juvenília;7;0;7
313700 Ladainha;144;0;144
313710 Lagamar;533;34;567
313720 Lagoa da Prata;10202;118;10320
313730 Lagoa dos Patos;24;0;24
313740 Lagoa Dourada;555;14;569
313750 Lagoa Formosa;1749;18;1767
313753 Lagoa Grande;233;81;314
313760 Lagoa Santa;12519;1946;14465
313770 Lajinha;364;9;373
313780 Lambari;3286;36;3322
313790 Lamim;42;1;43
313800 Laranjal;293;11;304
313810 Lassance;67;13;80
313820 Lavras;31805;4996;36801
313830 Leandro Ferreira;170;5;175
313835 Leme do Prado;52;4;56
313840 Leopoldina;6838;2308;9146
313850 Liberdade;353;8;361
313860 Lima Duarte;1011;28;1039
313862 Limeira do Oeste;383;252;635
313865 Lontra;70;14;84
313867 Luisburgo;56;0;56
313868 Luislândia;21;0;21
313870 Luminárias;322;4;326
313880 Luz;2095;40;2135
313890 Machacalis;89;2;91
313900 Machado;10248;277;10525
313910 Madre de Deus de Minas;207;1;208
313920 Malacacheta;433;14;447
313925 Mamonas;19;3;22
313930 Manga;296;25;321
313940 Manhuaçu;8044;121;8165
313950 Manhumirim;1654;40;1694
313960 Mantena;1866;46;1912
313980 Mar de Espanha;1054;20;1074
313970 Maravilhas;366;14;380
313990 Maria da Fé;1731;461;2192
314000 Mariana;18185;992;19177
314010 Marilac;149;4;153
314015 Mário Campos;1456;240;1696
314020 Maripá de Minas;214;8;222
314030 Marliéria;206;9;215
314040 Marmelópolis;60;2;62
314050 Martinho Campos;1223;36;1259
314053 Martins Soares;110;2;112
314055 Mata Verde;63;4;67
314060 Materlândia;55;0;55
314070 Mateus Leme;5880;224;6104
317150 Mathias Lobato;33;2;35
314080 Matias Barbosa;2383;365;2748
314085 Matias Cardoso;36;0;36
314090 Matipó;489;22;511
314100 Mato Verde;201;18;219
314110 Matozinhos;7390;618;8008
314120 Matutina;99;14;113
314130 Medeiros;67;8;75
314140 Medina;372;8;380
314150 Mendes Pimentel;262;10;272
314160 Mercês;342;3;345
314170 Mesquita;459;63;522
314180 Minas Novas;673;37;710
314190 Minduri;470;8;478
314200 Mirabela;181;4;185
314210 Miradouro;315;4;319
314220 Miraí;574;17;591
314225 Miravânia;8;0;8
314230 Moeda;344;42;386
314240 Moema;266;8;274
314250 Monjolos;11;0;11
314260 Monsenhor Paulo;1151;11;1162
314270 Montalvânia;127;5;132
314280 Monte Alegre de Minas;887;41;928
314290 Monte Azul;478;11;489
314300 Monte Belo;1759;4;1763
314310 Monte Carmelo;5176;997;6173
314315 Monte Formoso;11;1;12
314320 Monte Santo de Minas;1878;40;1918
314340 Monte Sião;1769;41;1810
314330 Montes Claros;61151;5502;66653
314345 Montezuma;30;0;30
314350 Morada Nova de Minas;539;13;552
314360 Morro da Garça;57;1;58
314370 Morro do Pilar;86;9;95
314380 Munhoz;117;15;132
314390 Muriaé;18138;685;18823
314400 Mutum;392;23;415
314410 Muzambinho;3823;37;3860
314420 Nacip Raydan;47;0;47
314430 Nanuque;3082;133;3215
314435 Naque;476;63;539
314437 Natalândia;33;1;34
314440 Natércia;99;9;108
314450 Nazareno;458;17;475
314460 Nepomuceno;1522;28;1550
314465 Ninheira;16;0;16
314467 Nova Belém;16;1;17
314470 Nova Era;6456;50;6506
314480 Nova Lima;40107;10526;50633
314490 Nova Módica;80;3;83
314500 Nova Ponte;1720;311;2031
314505 Nova Porteirinha;105;9;114
314510 Nova Resende;516;0;516
314520 Nova Serrana;9058;50;9108
313660 Nova União;315;47;362
314530 Novo Cruzeiro;342;12;354
314535 Novo Oriente de Minas;90;0;90
314537 Novorizonte;1;0;1
314540 Olaria;38;18;56
314545 Olhos-d'Água;14;5;19
314550 Olímpio Noronha;431;2;433
314560 Oliveira;6180;97;6277
314570 Oliveira Fortes;97;2;99
314580 Onça de Pitangui;41;3;44
314585 Oratórios;183;1;184
314587 Orizânia;21;9;30
314590 Ouro Branco;10587;2592;13179
314600 Ouro Fino;2114;51;2165
314610 Ouro Preto;20980;3487;24467
314620 Ouro Verde de Minas;79;0;79
314625 Padre Carvalho;12;5;17
314630 Padre Paraíso;356;3;359
314655 Pai Pedro;9;0;9
314640 Paineiras;164;42;206
314650 Pains;636;6;642
314660 Paiva;45;1;46
314670 Palma;259;12;271
314675 Palmópolis;11;0;11
314690 Papagaios;1040;14;1054
314710 Pará de Minas;17475;2209;19684
314700 Paracatu;11027;1446;12473
314720 Paraguaçu;3082;47;3129
314730 Paraisópolis;7502;107;7609
314740 Paraopeba;2356;474;2830
314760 Passa Quatro;3109;85;3194
314770 Passa Tempo;578;10;588
314780 Passa-Vinte;48;10;58
314750 Passabém;79;2;81
314790 Passos;18174;6498;24672
314795 Patis;5;1;6
314800 Patos de Minas;30436;1304;31740
314810 Patrocínio;16040;250;16290
314820 Patrocínio do Muriaé;243;17;260
314830 Paula Cândido;389;12;401
314840 Paulistas;106;1;107
314850 Pavão;255;14;269
314860 Peçanha;476;26;502
314870 Pedra Azul;1467;15;1482
314875 Pedra Bonita;6;1;7
314880 Pedra do Anta;96;5;101
314890 Pedra do Indaiá;523;8;531
314900 Pedra Dourada;13;1;14
314910 Pedralva;957;229;1186
314915 Pedras de Maria da Cruz;100;56;156
314920 Pedrinópolis;124;5;129
314930 Pedro Leopoldo;17958;2040;19998
314940 Pedro Teixeira;16;0;16
314950 Pequeri;415;4;419
314960 Pequi;177;3;180
314970 Perdigão;1627;4;1631
314980 Perdizes;590;22;612
314990 Perdões;2594;239;2833
314995 Periquito;295;27;322
315000 Pescador;106;5;111
315010 Piau;194;3;197
315015 Piedade de Caratinga;48;0;48
315020 Piedade de Ponte Nova;272;6;278
315030 Piedade do Rio Grande;74;10;84
315040 Piedade dos Gerais;88;8;96
315050 Pimenta;275;22;297
315053 Pingo-d'Água;36;0;36
315057 Pintópolis;11;2;13
315060 Piracema;320;6;326
315070 Pirajuba;766;3;769
315080 Piranga;337;8;345
315090 Piranguçu;778;111;889
315100 Piranguinho;1782;479;2261
315110 Pirapetinga;1738;269;2007
315120 Pirapora;8254;1636;9890
315130 Piraúba;1903;28;1931
315140 Pitangui;3664;45;3709
315150 Piumhi;2440;38;2478
315160 Planura;1446;91;1537
315170 Poço Fundo;1969;19;1988
315180 Poços de Caldas;83800;18453;102253
315190 Pocrane;87;6;93
315200 Pompéu;1401;79;1480
315210 Ponte Nova;14165;470;14635
315213 Ponto Chique;24;6;30
315217 Ponto dos Volantes;69;1;70
315220 Porteirinha;829;39;868
315230 Porto Firme;178;27;205
315240 Poté;183;2;185
315250 Pouso Alegre;44660;8142;52802
315260 Pouso Alto;945;61;1006
315270 Prados;2174;2;2176
315280 Prata;4509;191;4700
315290 Pratápolis;908;280;1188
315300 Pratinha;121;1;122
315310 Presidente Bernardes;219;31;250
315320 Presidente Juscelino;67;1;68
315330 Presidente Kubitschek;20;3;23
315340 Presidente Olegário;642;62;704
315360 Prudente de Morais;594;98;692
315370 Quartel Geral;166;93;259
315380 Queluzito;54;6;60
315390 Raposos;3618;986;4604
315400 Raul Soares;1094;22;1116
315410 Recreio;586;34;620
315415 Reduto;148;0;148
315420 Resende Costa;774;11;785
315430 Resplendor;1761;23;1784
315440 Ressaquinha;180;2;182
315445 Riachinho;76;3;79
315450 Riacho dos Machados;103;20;123
315460 Ribeirão das Neves;36868;10549;47417
315470 Ribeirão Vermelho;1003;130;1133
315480 Rio Acima;2252;452;2704
315490 Rio Casca;1002;15;1017
315510 Rio do Prado;60;1;61
315500 Rio Doce;201;2;203
315520 Rio Espera;59;6;65
315530 Rio Manso;130;24;154
315540 Rio Novo;606;31;637
315550 Rio Paranaíba;711;6;717
315560 Rio Pardo de Minas;248;2;250
315570 Rio Piracicaba;3536;38;3574
315580 Rio Pomba;2103;31;2134
315590 Rio Preto;314;7;321
315600 Rio Vermelho;141;9;150
315610 Ritápolis;271;3;274
315620 Rochedo de Minas;141;4;145
315630 Rodeiro;3439;11;3450
315640 Romaria;94;9;103
315645 Rosário da Limeira;71;3;74
315650 Rubelita;64;0;64
315660 Rubim;178;5;183
315670 Sabará;26461;5743;32204
315680 Sabinópolis;474;8;482
315690 Sacramento;2455;91;2546
315700 Salinas;2023;47;2070
315710 Salto da Divisa;287;4;291
315720 Santa Bárbara;10084;1992;12076
315725 Santa Bárbara do Leste;150;12;162
315727 Santa Bárbara do Monte Verde;30;4;34
315730 Santa Bárbara do Tugúrio;156;1;157
315733 Santa Cruz de Minas;500;40;540
315737 Santa Cruz de Salinas;30;4;34
315740 Santa Cruz do Escalvado;85;4;89
315750 Santa Efigênia de Minas;60;9;69
315760 Santa Fé de Minas;91;1;92
315765 Santa Helena de Minas;33;1;34
315770 Santa Juliana;956;95;1051
315780 Santa Luzia;39838;10649;50487
315790 Santa Margarida;273;13;286
315800 Santa Maria de Itabira;900;39;939
315810 Santa Maria do Salto;41;0;41
315820 Santa Maria do Suaçuí;548;7;555
315920 Santa Rita de Caldas;1113;13;1126
315940 Santa Rita de Ibitipoca;43;0;43
315930 Santa Rita de Jacutinga;230;5;235
315935 Santa Rita de Minas;271;2;273
315950 Santa Rita do Itueto;48;1;49
315960 Santa Rita do Sapucaí;8756;320;9076
315970 Santa Rosa da Serra;45;22;67
315980 Santa Vitória;2435;30;2465
315830 Santana da Vargem;512;2;514
315840 Santana de Cataguases;107;7;114
315850 Santana de Pirapama;136;8;144
315860 Santana do Deserto;172;13;185
315870 Santana do Garambéu;76;1;77
315880 Santana do Jacaré;93;1;94
315890 Santana do Manhuaçu;184;2;186
315895 Santana do Paraíso;2773;312;3085
315900 Santana do Riacho;119;7;126
315910 Santana dos Montes;34;1;35
315990 Santo Antônio do Amparo;488;8;496
316000 Santo Antônio do Aventureiro;103;3;106
316010 Santo Antônio do Grama;150;0;150
316020 Santo Antônio do Itambé;23;1;24
316030 Santo Antônio do Jacinto;47;0;47
316040 Santo Antônio do Monte;4990;35;5025
316045 Santo Antônio do Retiro;10;0;10
316050 Santo Antônio do Rio Abaixo;35;0;35
316060 Santo Hipólito;37;2;39
316070 Santos Dumont;9256;275;9531
316080 São Bento Abade;33;8;41
316090 São Brás do Suaçuí;358;29;387
316095 São Domingos das Dores;18;1;19
316100 São Domingos do Prata;1173;27;1200
316105 São Félix de Minas;13;1;14
316110 São Francisco;719;52;771
316120 São Francisco de Paula;189;1;190
316130 São Francisco de Sales;418;6;424
316140 São Francisco do Glória;42;5;47
316150 São Geraldo;1296;29;1325
316160 São Geraldo da Piedade;130;2;132
316165 São Geraldo do Baixio;36;0;36
316170 São Gonçalo do Abaeté;462;14;476
316180 São Gonçalo do Pará;1415;24;1439
316190 São Gonçalo do Rio Abaixo;839;29;868
312550 São Gonçalo do Rio Preto;40;0;40
316200 São Gonçalo do Sapucaí;2109;135;2244
316210 São Gotardo;2652;127;2779
316220 São João Batista do Glória;163;8;171
316225 São João da Lagoa;8;0;8
316230 São João da Mata;78;2;80
316240 São João da Ponte;112;3;115
316245 São João das Missões;6;0;6
316250 São João del Rei;20009;1152;21161
316255 São João do Manhuaçu;333;1;334
316257 São João do Manteninha;64;0;64
316260 São João do Oriente;180;3;183
316270 São João do Paraíso;150;12;162
316280 São João Evangelista;607;26;633
316290 São João Nepomuceno;3192;56;3248
316292 São Joaquim de Bicas;5598;404;6002
316294 São José da Barra;319;105;424
316295 São José da Lapa;3140;815;3955
316300 São José da Safira;70;0;70
316310 São José da Varginha;106;9;115
316320 São José do Alegre;718;109;827
316330 São José do Divino;137;0;137
316340 São José do Goiabal;197;6;203
316350 São José do Jacuri;103;10;113
316360 São José do Mantimento;14;4;18
316370 São Lourenço;15278;3205;18483
316380 São Miguel do Anta;342;4;346
316390 São Pedro da União;93;0;93
316410 São Pedro do Suaçuí;107;14;121
316400 São Pedro dos Ferros;263;5;268
316420 São Romão;39;2;41
316430 São Roque de Minas;112;3;115
316440 São Sebastião da Bela Vista;121;5;126
316443 São Sebastião da Vargem Alegre;50;1;51
316447 São Sebastião do Anta;23;4;27
316450 São Sebastião do Maranhão;52;3;55
316460 São Sebastião do Oeste;1234;2;1236
316470 São Sebastião do Paraíso;19444;6543;25987
316480 São Sebastião do Rio Preto;47;8;55
316490 São Sebastião do Rio Verde;66;13;79
316520 São Thomé das Letras;72;20;92
316500 São Tiago;972;16;988
316510 São Tomás de Aquino;421;32;453
316530 São Vicente de Minas;487;20;507
316540 Sapucaí-Mirim;83;4;87
316550 Sardoá;100;7;107
316553 Sarzedo;6016;898;6914
316556 Sem-Peixe;31;0;31
316557 Senador Amaral;61;0;61
316560 Senador Cortes;71;8;79
316570 Senador Firmino;1358;4;1362
316580 Senador José Bento;20;0;20
316590 Senador Modestino Gonçalves;60;0;60
316600 Senhora de Oliveira;108;20;128
316610 Senhora do Porto;61;1;62
316620 Senhora dos Remédios;121;6;127
316630 Sericita;60;0;60
316640 Seritinga;59;3;62
316650 Serra Azul de Minas;41;0;41
316660 Serra da Saudade;20;0;20
316680 Serra do Salitre;1978;11;1989
316670 Serra dos Aimorés;176;457;633
316690 Serrania;870;9;879
316695 Serranópolis de Minas;8;0;8
316700 Serranos;89;1;90
316710 Serro;696;40;736
316720 Sete Lagoas;69706;5052;74758
316555 Setubinha;21;3;24
316730 Silveirânia;152;0;152
316740 Silvianópolis;521;25;546
316750 Simão Pereira;278;8;286
316760 Simonésia;357;6;363
316770 Sobrália;228;9;237
316780 Soledade de Minas;774;86;860
316790 Tabuleiro;125;6;131
316800 Taiobeiras;677;26;703
316805 Taparuba;1;0;1
316810 Tapira;598;1018;1616
316820 Tapiraí;31;1;32
316830 Taquaraçu de Minas;88;13;101
316840 Tarumirim;470;5;475
316850 Teixeiras;984;22;1006
316860 Teófilo Otoni;18751;396;19147
316870 Timóteo;24333;1133;25466
316880 Tiradentes;819;43;862
316890 Tiros;1297;6;1303
316900 Tocantins;5991;123;6114
316905 Tocos do Moji;29;0;29
316910 Toledo;147;7;154
316920 Tombos;596;70;666
316930 Três Corações;17727;6415;24142
316935 Três Marias;5481;1534;7015
316940 Três Pontas;10633;98;10731
316950 Tumiritinga;261;1;262
316960 Tupaciguara;1841;185;2026
316970 Turmalina;487;70;557
316980 Turvolândia;71;0;71
316990 Ubá;38881;2513;41394
317000 Ubaí;34;5;39
317005 Ubaporanga;318;7;325
317010 Uberaba;76744;17302;94046
317020 Uberlândia;218084;70043;288127
317030 Umburatiba;36;0;36
317040 Unaí;13138;197;13335
317043 União de Minas;46;14;60
317047 Uruana de Minas;118;3;121
317050 Urucânia;757;9;766
317052 Urucuia;99;2;101
317057 Vargem Alegre;150;2;152
317060 Vargem Bonita;26;0;26
317065 Vargem Grande do Rio Pardo;23;0;23
317070 Varginha;56000;6175;62175
317075 Varjão de Minas;181;1;182
317080 Várzea da Palma;2633;29;2662
317090 Varzelândia;92;10;102
317100 Vazante;3455;23;3478
317103 Verdelândia;13;0;13
317107 Veredinha;144;2;146
317110 Veríssimo;170;0;170
317115 Vermelho Novo;36;7;43
317120 Vespasiano;15676;3505;19181
317130 Viçosa;24456;571;25027
317140 Vieiras;39;2;41
317160 Virgem da Lapa;147;4;151
317170 Virgínia;625;4;629
317180 Virginópolis;647;86;733
317190 Virgolândia;162;0;162
317200 Visconde do Rio Branco;6819;25;6844
317210 Volta Grande;422;52;474
317220 Wenceslau Braz;202;128;330
310000 Município ignorado - MG;34080;8519;42599
320010 Afonso Cláudio;2250;150;2400
320016 Água Doce do Norte;276;9;285
320013 Águia Branca;584;10;594
320020 Alegre;3572;316;3888
320030 Alfredo Chaves;1246;33;1279
320035 Alto Rio Novo;241;24;265
320040 Anchieta;4312;515;4827
320050 Apiacá;552;53;605
320060 Aracruz;19398;2678;22076
320070 Atilio Vivacqua;600;59;659
320080 Baixo Guandu;2668;188;2856
320090 Barra de São Francisco;5635;366;6001
320100 Boa Esperança;700;22;722
320110 Bom Jesus do Norte;1155;210;1365
320115 Brejetuba;273;4;277
320120 Cachoeiro de Itapemirim;45749;6578;52327
320130 Cariacica;95133;16596;111729
320140 Castelo;4338;254;4592
320150 Colatina;30161;12965;43126
320160 Conceição da Barra;1303;206;1509
320170 Conceição do Castelo;711;114;825
320180 Divino de São Lourenço;417;20;437
320190 Domingos Martins;3004;102;3106
320200 Dores do Rio Preto;132;3;135
320210 Ecoporanga;1729;82;1811
320220 Fundão;3141;198;3339
320225 Governador Lindenberg;616;10;626
320230 Guaçuí;2000;344;2344
320240 Guarapari;21353;2576;23929
320245 Ibatiba;591;11;602
320250 Ibiraçu;2214;80;2294
320255 Ibitirama;95;3;98
320260 Iconha;2557;347;2904
320265 Irupi;248;9;257
320270 Itaguaçu;865;30;895
320280 Itapemirim;1795;192;1987
320290 Itarana;978;98;1076
320300 Iúna;1181;57;1238
320305 Jaguaré;987;90;1077
320310 Jerônimo Monteiro;672;39;711
320313 João Neiva;5117;202;5319
320316 Laranja da Terra;221;12;233
320320 Linhares;33867;2748;36615
320330 Mantenópolis;404;12;416
320332 Marataízes;2509;178;2687
320334 Marechal Floriano;1308;123;1431
320335 Marilândia;1260;15;1275
320340 Mimoso do Sul;2104;123;2227
320350 Montanha;717;44;761
320360 Mucurici;114;10;124
320370 Muniz Freire;715;32;747
320380 Muqui;1255;123;1378
320390 Nova Venécia;5971;534;6505
320400 Pancas;1199;51;1250
320405 Pedro Canário;1429;426;1855
320410 Pinheiros;1124;61;1185
320420 Piúma;1732;188;1920
320425 Ponto Belo;86;2;88
320430 Presidente Kennedy;458;30;488
320435 Rio Bananal;688;24;712
320440 Rio Novo do Sul;1171;147;1318
320450 Santa Leopoldina;507;65;572
320455 Santa Maria de Jetibá;1493;43;1536
320460 Santa Teresa;2910;424;3334
320465 São Domingos do Norte;1134;25;1159
320470 São Gabriel da Palha;3780;143;3923
320480 São José do Calçado;933;52;985
320490 São Mateus;17074;5676;22750
320495 São Roque do Canaã;1531;37;1568
320500 Serra;137044;21383;158427
320501 Sooretama;1166;84;1250
320503 Vargem Alta;1496;105;1601
320506 Venda Nova do Imigrante;2627;903;3530
320510 Viana;11554;1150;12704
320515 Vila Pavão;305;8;313
320517 Vila Valério;758;18;776
320520 Vila Velha;189538;22582;212120
320530 Vitória;233960;39469;273429
320000 Município ignorado - ES;2359;7296;9655
330010 Angra dos Reis;41310;7913;49223
330015 Aperibé;595;62;657
330020 Araruama;17307;2789;20096
330022 Areal;1574;672;2246
330023 Armação dos Búzios;2202;513;2715
330025 Arraial do Cabo;3737;1027;4764
330030 Barra do Piraí;21113;2536;23649
330040 Barra Mansa;48472;12219;60691
330045 Belford Roxo;65430;15040;80470
330050 Bom Jardim;2653;146;2799
330060 Bom Jesus do Itabapoana;6685;873;7558
330070 Cabo Frio;26241;6118;32359
330080 Cachoeiras de Macacu;5179;1816;6995
330090 Cambuci;1101;146;1247
330100 Campos dos Goytacazes;93705;18918;112623
330110 Cantagalo;2695;317;3012
330093 Carapebus;1338;902;2240
330115 Cardoso Moreira;1005;457;1462
330120 Carmo;1242;112;1354
330130 Casimiro de Abreu;4635;3159;7794
330095 Comendador Levy Gasparian;634;139;773
330140 Conceição de Macabu;2885;1377;4262
330150 Cordeiro;2740;588;3328
330160 Duas Barras;571;46;617
330170 Duque de Caxias;174743;75087;249830
330180 Engenheiro Paulo de Frontin;758;87;845
330185 Guapimirim;5716;3175;8891
330187 Iguaba Grande;2734;601;3335
330190 Itaboraí;25043;7668;32711
330200 Itaguaí;22978;3611;26589
330205 Italva;1142;805;1947
330210 Itaocara;2652;305;2957
330220 Itaperuna;14689;4532;19221
330225 Itatiaia;7274;3363;10637
330227 Japeri;4536;777;5313
330230 Laje do Muriaé;481;281;762
330240 Macaé;108051;60823;168874
330245 Macuco;1281;104;1385
330250 Magé;26301;10325;36626
330260 Mangaratiba;6303;883;7186
330270 Maricá;22043;8241;30284
330280 Mendes;1905;210;2115
330285 Mesquita;22604;3400;26004
330290 Miguel Pereira;4144;773;4917
330300 Miracema;2997;501;3498
330310 Natividade;1416;451;1867
330320 Nilópolis;39962;7433;47395
330330 Niterói;297849;72757;370606
330340 Nova Friburgo;38510;3396;41906
330350 Nova Iguaçu;147554;24365;171919
330360 Paracambi;5510;1180;6690
330370 Paraíba do Sul;4708;618;5326
330380 Parati;3437;391;3828
330385 Paty do Alferes;1361;160;1521
330390 Petrópolis;85663;23560;109223
330395 Pinheiral;3410;513;3923
330400 Piraí;4799;777;5576
330410 Porciúncula;1463;287;1750
330411 Porto Real;8192;5331;13523
330412 Quatis;2065;958;3023
330414 Queimados;26730;6206;32936
