Município;Assistência_Médica;Excl._Odontológico;Total
211223 Trizidela do Vale;101;12;113
211227 Tufilândia;20;0;20
211230 Tuntum;141;5;146
211240 Turiaçu;45;11;56
211245 Turilândia;25;2;27
211250 Tutóia;236;46;282
211260 Urbano Santos;102;5;107
211270 Vargem Grande;143;32;175
211280 Viana;369;76;445
211285 Vila Nova dos Martírios;101;17;118
211290 Vitória do Mearim;375;10;385
211300 Vitorino Freire;126;2;128
211400 Zé Doca;455;73;528
210000 Município ignorado - MA;2393;5129;7522
220005 Acauã;87;1;88
220010 Agricolândia;35;5;40
220020 Água Branca;272;14;286
220025 Alagoinha do Piauí;15;1;16
220027 Alegrete do Piauí;14;36;50
220030 Alto Longá;78;0;78
220040 Altos;745;50;795
220045 Alvorada do Gurguéia;41;0;41
220050 Amarante;133;9;142
220060 Angical do Piauí;65;4;69
220070 Anísio de Abreu;6;1;7
220080 Antônio Almeida;25;3;28
220090 Aroazes;17;3;20
220100 Arraial;10;0;10
220105 Assunção do Piauí;6;2;8
220110 Avelino Lopes;74;4;78
220115 Baixa Grande do Ribeiro;107;18;125
220117 Barra D'Alcântara;14;4;18
220120 Barras;377;14;391
220130 Barreiras do Piauí;14;0;14
220140 Barro Duro;51;3;54
220150 Batalha;104;1;105
220157 Belém do Piauí;5;0;5
220160 Beneditinos;57;3;60
220170 Bertolínia;71;3;74
220173 Betânia do Piauí;10;1;11
220177 Boa Hora;14;2;16
220180 Bocaina;38;0;38
220190 Bom Jesus;551;106;657
220191 Bom Princípio do Piauí;6;0;6
220192 Bonfim do Piauí;4;0;4
220194 Boqueirão do Piauí;10;4;14
220196 Brasileira;64;3;67
220198 Brejo do Piauí;8;0;8
220200 Buriti dos Lopes;141;4;145
220202 Buriti dos Montes;4;0;4
220205 Cabeceiras do Piauí;33;0;33
220207 Cajazeiras do Piauí;1;0;1
220208 Cajueiro da Praia;18;13;31
220209 Caldeirão Grande do Piauí;67;0;67
220210 Campinas do Piauí;43;1;44
220211 Campo Alegre do Fidalgo;9;0;9
220213 Campo Grande do Piauí;6;0;6
220220 Campo Maior;1615;72;1687
220225 Canavieira;6;0;6
220230 Canto do Buriti;259;17;276
220240 Capitão de Campos;66;0;66
220245 Capitão Gervásio Oliveira;3;0;3
220250 Caracol;24;1;25
220253 Caraúbas do Piauí;0;2;2
220260 Castelo do Piauí;267;13;280
220265 Caxingó;3;25;28
220270 Cocal;73;1;74
220271 Cocal de Telha;10;0;10
220272 Cocal dos Alves;8;2;10
220273 Coivaras;8;0;8
220275 Colônia do Gurguéia;72;0;72
220277 Colônia do Piauí;9;0;9
220280 Conceição do Canindé;50;0;50
220285 Coronel José Dias;2;0;2
220290 Corrente;362;11;373
220300 Cristalândia do Piauí;28;2;30
220310 Cristino Castro;100;4;104
220320 Curimatá;110;2;112
220323 Currais;0;2;2
220327 Curral Novo do Piauí;5;8;13
220325 Curralinhos;11;1;12
220330 Demerval Lobão;169;10;179
220335 Dirceu Arcoverde;9;0;9
220340 Dom Expedito Lopes;48;4;52
220345 Dom Inocêncio;21;0;21
220342 Domingos Mourão;5;0;5
220350 Elesbão Veloso;124;4;128
220360 Eliseu Martins;65;4;69
220370 Esperantina;442;32;474
220375 Fartura do Piauí;2;0;2
220380 Flores do Piauí;28;8;36
220385 Floresta do Piauí;4;0;4
220390 Floriano;4102;162;4264
220400 Francinópolis;14;0;14
220410 Francisco Ayres;14;2;16
220415 Francisco Macedo;11;0;11
220420 Francisco Santos;44;0;44
220430 Fronteiras;151;4;155
220435 Geminiano;3;0;3
220440 Gilbués;80;4;84
220450 Guadalupe;565;13;578
220455 Guaribas;6;0;6
220460 Hugo Napoleão;19;2;21
220465 Ilha Grande;19;0;19
220470 Inhuma;108;1;109
220480 Ipiranga do Piauí;88;0;88
220490 Isaías Coelho;13;5;18
220500 Itainópolis;34;9;43
220510 Itaueira;89;1;90
220515 Jacobina do Piauí;6;0;6
220520 Jaicós;136;1;137
220525 Jardim do Mulato;8;0;8
220530 Jerumenha;54;4;58
220540 Joaquim Pires;46;1;47
220545 Joca Marques;1;0;1
220550 José de Freitas;491;78;569
220551 Juazeiro do Piauí;10;0;10
220552 Júlio Borges;0;2;2
220555 Lagoa Alegre;8;0;8
220557 Lagoa de São Francisco;7;0;7
220556 Lagoa do Barro do Piauí;9;0;9
220558 Lagoa do Piauí;21;2;23
220559 Lagoa do Sítio;1;0;1
220554 Lagoinha do Piauí;5;0;5
220560 Landri Sales;38;5;43
220570 Luís Correia;155;6;161
220580 Luzilândia;288;5;293
220585 Madeiro;2;0;2
220590 Manoel Emídio;74;2;76
220595 Marcolândia;12;3;15
220600 Marcos Parente;85;3;88
220605 Massapê do Piauí;2;0;2
220610 Matias Olímpio;70;6;76
220620 Miguel Alves;105;2;107
220630 Miguel Leão;4;0;4
220635 Milton Brandão;6;1;7
220640 Monsenhor Gil;62;3;65
